01;브렌트퍼;10;16.0;11;5;1;5;22;22;0;2.0
02;크리스털;17;7.0;11;1;4;6;8;15;-7;0.73
03;웨스트햄;14;12.0;11;3;3;5;13;19;-6;1.18
04;울버햄프;18;6.0;11;1;3;7;16;27;-11;1.45
05;브라이턴;4;19.0;11;5;4;2;19;15;4;1.73
06;비야레알;3;24.0;12;7;3;2;23;19;4;1.92
07;헤타페;17;10.0;12;1;7;4;8;10;-2;0.67
08;베티스;7;19.0;12;5;4;3;12;10;2;1.0
09;노팅엄포;3;19.0;10;5;4;1;14;7;7;1.4
10;토트넘;9;16.0;10;5;1;4;22;11;11;2.2
11;마요르카;8;18.0;12;5;3;4;10;9;1;0.83
12;첼시;5;18.0;10;5;3;2;20;12;8;2.0
13;레가네스;14;14.0;13;3;5;5;13;16;-3;1.0
14;바야돌리;19;8.0;12;2;2;8;9;24;-15;0.75
