01;26;라울 모로;3;1;4;11;11;6;1;0;7
03;19;알렉산더 이삭;4;2;6;11;19;11;0;0;6
03;19;하비 반스;4;1;5;5;13;6;0;0;2
04;1;로베르트 레반도프스키;15;2;17;15;40;27;1;0;9
04;2;하피냐;9;6;15;14;36;21;1;0;4
04;9;다니 올모;5;0;5;4;15;8;0;0;1
04;9;라민 야말;5;7;12;11;32;17;1;0;6
05;3;크리스 우드;9;0;9;12;19;15;1;0;12
06;3;비니시우스 주니오르;8;5;13;12;26;11;4;0;4
06;3;킬리안 음바페;8;1;9;13;42;29;1;0;21
07;26;다케후사 쿠보;3;0;3;11;13;7;1;0;4
07;26;미켈 오야르사발;3;1;4;12;14;7;2;1;6
08;14;부카요 사카;5;10;15;12;24;15;3;0;1
08;14;카이 하베르츠;5;1;6;12;23;11;2;0;7
09;14;저스틴 클라위버르트;5;2;7;10;23;14;4;0;4
09;19;앙투안 세메뇨;4;1;5;12;31;12;5;0;6
09;19;에바니우송 바르보자;4;0;4;11;21;13;0;0;10
10;9;대니 웰백;6;2;8;13;24;12;1;0;2
10;19;주앙 페드로;4;2;6;5;9;6;1;0;0
11;6;아요세 페레스;7;0;7;5;15;7;3;0;3
11;18;티에르노 바리;4;2;6;9;29;10;1;0;13
12;4;니콜라 잭슨;8;3;11;13;27;20;4;0;8
12;4;콜 파머;8;6;14;13;29;17;3;0;6
12;19;노니 마두에케;4;1;5;11;29;15;3;0;1
14;9;도디 루케바키오;5;0;5;13;30;16;1;0;7
