01;번리;3;48;24;13;9;2;30;9;21;1.25
02;플리머스;24;18;23;4;6;13;22;51;-29;0.96
03;웨스브로;8;36;24;8;12;4;28;19;9;1.17
04;뉴캐슬U;5;32;19;9;5;5;32;21;11;1.68
05;더비카운;16;27;24;7;6;11;29;30;-1;1.21
06;코번트리;15;28;24;7;7;10;32;34;-2;1.33
07;옥스퍼드;20;24;23;6;6;11;26;39;-13;1.13
08;밀월;13;29;23;7;8;8;22;20;2;0.96
09;셰필드U;2;49;24;15;6;3;33;14;19;1.38
10;레스터C;19;14;19;3;5;11;22;42;-20;1.16
11;에버턴;16;17;18;3;8;7;15;24;-9;0.83
12;웨스트햄;13;23;19;6;5;8;23;35;-12;1.21
13;브렌트퍼;12;24;18;7;3;8;32;32;0;1.78
14;아스널;3;36;18;10;6;2;35;16;19;1.94
