01;소리아;골키퍼;0;0;0;21;0;0;0;0;0
01;마요랄;공격수;2;0;2;7;4;3;0;0;1
01;로드리게스;공격수;2;0;2;12;8;4;2;0;2
01;페레스 사욜;공격수;2;0;2;18;22;6;1;0;0
01;이을드름;공격수;1;0;1;16;13;7;7;0;8
01;다 코스타;공격수;1;1;2;7;8;4;2;0;0
01;케이타;공격수;0;0;0;2;2;0;0;0;0
01;아람바리;미드필더;5;0;5;19;20;8;6;0;2
01;우체;미드필더;2;2;4;21;23;7;3;0;15
01;미야;미드필더;1;2;3;21;15;3;3;0;0
01;리스코;미드필더;0;0;0;5;2;1;0;0;0
01;핀;미드필더;0;0;0;4;0;0;1;0;0
01;알레나;미드필더;0;0;0;9;5;1;1;0;2
01;곤잘레스;미드필더;0;0;0;12;4;0;0;0;0
01;산티아고 페레스;미드필더;0;0;0;14;0;0;4;0;0
01;니욤;수비수;1;1;2;9;5;3;3;0;0
01;리베라;수비수;0;0;0;1;0;0;0;0;0
01;아베르딘;수비수;0;0;0;7;2;0;1;0;0
01;아귈레스;수비수;0;0;0;1;0;0;0;0;0
01;두아르테;수비수;0;0;0;7;0;0;0;0;0
01;리코 살게로;수비수;0;2;2;19;4;2;5;0;2
01;솔라;수비수;0;1;1;18;14;1;4;0;6
01;알데레테;수비수;0;0;0;20;12;4;5;0;4
01;베쿠차;수비수;0;0;0;1;0;0;1;0;0
01;다코남;수비수;0;0;0;19;1;0;7;0;0
01;베로칼;수비수;0;0;0;10;3;0;3;0;0
01;이글레시아스;수비수;0;0;0;21;8;1;2;0;1
02;트래버스;골키퍼;0;0;0;5;0;0;0;0;0
02;아리사발라가;골키퍼;0;0;0;16;0;0;2;0;0
02;세메뇨;공격수;7;3;10;22;85;26;5;0;6
02;오와타라;공격수;6;4;10;20;33;13;1;0;6
02;이바니우송;공격수;5;0;5;19;44;20;0;0;8
02;우날;공격수;2;1;3;17;18;6;2;0;3
02;클라위버르트;공격수;11;3;14;22;44;25;6;0;3
02;크리스티;공격수;1;2;3;22;19;7;8;0;1
02;시니스테라;공격수;1;1;2;8;12;6;0;0;1
02;제비슨;공격수;0;0;0;5;2;1;1;0;0
02;리스 도틴;공격수;0;0;0;1;0;0;0;0;0
02;실콧 듀베리;공격수;0;0;0;1;0;0;0;0;0
02;브룩스;미드필더;2;0;2;16;18;9;3;0;0
02;쿡;미드필더;1;3;4;22;8;2;5;0;2
02;타버니어;미드필더;1;5;6;16;28;9;2;0;3
02;윈터번;미드필더;0;0;0;2;0;0;0;0;0
02;스콧;미드필더;0;0;0;8;4;1;0;0;0
02;아담스;미드필더;0;3;3;13;4;1;4;0;0
02;하이센;수비수;2;0;2;17;8;2;4;0;1
02;케르케즈;수비수;2;3;5;23;10;3;3;0;3
02;세네시;수비수;0;0;0;11;1;0;4;0;1
02;스미스;수비수;0;0;0;17;1;0;4;0;0
02;자바르니;수비수;0;0;0;23;6;0;3;0;0
02;힐;수비수;0;1;1;5;1;0;0;0;0
02;아라우조;수비수;0;0;0;8;0;0;1;0;0
03;은디아예;공격수;5;0;5;22;24;10;3;0;4
03;베투;공격수;1;0;1;14;12;4;1;0;4
03;브로야;공격수;0;0;0;5;5;1;1;0;1
03;망갈라;미드필더;1;0;1;19;14;6;2;0;1
