01;22;카일 라린;5;2;7;14;20;11;2;0;16
02;8;저스틴 클라위버르트;10;3;13;17;38;23;6;0;5
02;23;앙투안 세메뇨;6;3;9;21;51;24;5;0;7
03;23;대니 웰백;6;2;8;14;26;13;1;0;2
05;6;알렉산데르 쇠를로트;8;2;10;7;25;18;0;0;3
05;10;앙투안 그리에즈만;7;4;11;18;24;13;2;0;6
05;17;훌리안 알바레즈;6;2;8;15;29;17;3;0;7
06;2;엘링 홀란;17;1;18;22;74;50;2;0;4
07;5;도디 루케바키오;9;0;9;19;40;24;1;0;12
09;12;장-필리프 마테타;8;1;9;20;31;18;2;0;9
10;12;제임스 매디슨;8;4;12;15;26;16;4;0;2
10;18;도미닉 솔란케;7;3;10;18;32;20;0;0;4
10;18;브레넌 존슨;7;2;9;16;36;16;3;0;5
10;23;손흥민;6;6;12;17;31;21;0;0;10
10;23;데얀 클루셉스키;6;4;10;20;19;13;3;0;5
12;8;올리 왓킨스;10;4;14;18;46;27;0;0;4
12;18;존 듀란;7;0;7;4;25;15;3;1;5
12;23;모건 로저스;6;4;10;21;22;11;6;0;0
13;10;오이안 산세트;7;1;8;13;19;10;2;0;3
13;22;고르카 구루제타;5;2;7;11;25;13;2;0;3
13;22;알렉스 베렝게르;5;4;9;13;24;11;2;0;3
14;12;라울 히메네스;8;2;10;17;42;22;3;0;11
14;18;알렉스 이워비;7;3;10;22;32;19;1;0;2
